id,title,release_year,watched_at,rating,url
2023-001,Metamorphosis,2019,  02-01,average,https://g.co/kgs/FFvpBT2
2023-002,Run,2020,  02-07,average,https://g.co/kgs/Ak3xjnP
2023-003,Chainsaw Man,2022,  02-07,great,https://g.co/kgs/s8BJa4q
2023-004,In the Mood for Love,2000,  02-07,average,https://g.co/kgs/Sd8fZgK
2023-005,Shin Godzilla,2016,  02-08,good,https://g.co/kgs/8zS4EiQ
2023-006,Nobody,2021,  02-12,average,https://g.co/kgs/Fkz8nQf
2023-007,OMG! Oh My Girl,2022,  02-19,good,https://g.co/kgs/L61VDKh
2023-008,Fresh,2022,  02-20,good,https://g.co/kgs/3ApA2JN
2023-009,The Vault,2021,  03-12,average,https://g.co/kgs/cExx8d3
2023-010,Unlocked,2023,  03-12,good,https://g.co/kgs/T8M1EuW
2023-011,The Strays,2023,  03-13,bad,https://g.co/kgs/cU7qn6W
2023-012,The Chalk Line,2022,  03-18,average,https://g.co/kgs/pNeKfDS
2023-013,The Glory,2023,  03-20,good,https://g.co/kgs/4xzTMge
2023-014,You: season 4,2023,  03-22,good,https://g.co/kgs/8bg3cZr
2023-015,John Wick: Chapter 4,2023,  03-29,good,https://g.co/kgs/Hy8Yyzy
2023-016,Chaos Walking,2021,  04-10,average,https://g.co/kgs/hr7qEKa
2023-017,Hunger,2023,  04-12,good,https://g.co/kgs/FY3xB5T
2023-018,MH370: The Plane That Disappeared,2023,  04-14,average,https://g.co/kgs/iQwCe2n
2023-019,Beef,2023,  04-21,great,https://g.co/kgs/NZ4PqhA
2023-020,Four Good Days,2020,  04-23,average,https://g.co/kgs/r7LDcyr
2023-021,Missing,2023,  07-09,average,https://g.co/kgs/HSGvbM8
2023-022,Run Rabbit Run,2023,  07-18,average,https://g.co/kgs/yH7wwnN
2023-023,The Weekend Away,2022,  07-20,average,https://g.co/kgs/xBPzoDC
2023-024,They Cloned Tyrone,2023,  07-25,good,https://g.co/kgs/hNkMnuQ
2023-025,Barbies,2023,  08-01,average,https://g.co/kgs/NK8D7EC
2023-026,ZOM 100,2023,  08-08,average,https://g.co/kgs/SRjj3eK
2023-027,บ้านเช่า บูชายัญ,2023,  08-16,average,https://g.co/kgs/E2qHXop
2023-028,Guardians of the Galaxy Vol. 3,2023,  08-22,great,https://g.co/kgs/GUkTt5j
2023-029,Mask Girl,2023,  08-27,good,https://g.co/kgs/KyuXS9t
2023-030,Sick of Myself,2022,  08-31,good,https://g.co/kgs/KBH46jE
2023-031,The Alpinist,2021,  09-02,good,https://g.co/kgs/gQ4w8yk
2023-032,เรื่องตลก69 เดอะซีรีส์,2023,  09-09,good,https://g.co/kgs/KbUVHeL
2023-033,Pig,2021,  09-12,average,https://g.co/kgs/meLPJ2b
